filename,material,part_volume_mm3,stock_volume_mm3,material_to_remove_mm3,surface_area_mm2,setup_time_min,roughing_time_min,finishing_time_min,total_time_min,constraint_multiplier
0304663_D00043519_000.1_3D.stp,20910003,20441.05,67166.0,46724.96,7295.68,0.0,0.47,1.68,2.15,2.5
0347039_D00114455_000_000.step,20910003,64317.26,292250.0,227932.74,25130.15,0.0,2.28,5.78,8.06,2.5
10138363-01_21.03.2024.stp,20910003,272299.51,538560.35,266260.83,49564.51,0.0,1.07,11.4,12.46,1.0
10383459_7f06bbe6.stp,20910003,43471.8,454464.08,410992.28,18019.81,0.0,4.11,4.14,8.25,2.5
3DM_90057637_000_00.stp,20910003,73173.27,322349.0,249175.74,18583.46,0.0,1.0,4.27,5.27,1.0
JR 808404.ipt.step,20910003,20815.15,85470.0,64654.85,9364.65,0.0,0.65,2.15,2.8,2.5
JR 808405.ipt.step,20910003,5295.14,39312.0,34016.86,2879.65,0.0,0.34,0.66,1.0,2.5
JR 810663.ipt.step,20910003,41697.82,136896.0,95198.18,10696.72,0.0,0.38,2.46,2.84,1.0
JR 810664.ipt.step,20910003,26429.74,140875.0,114445.27,9481.58,0.0,1.14,2.18,3.33,2.5
JR 810665.ipt.step,20910003,8879.13,44915.2,36036.07,4095.86,0.0,0.65,0.94,1.59,4.5
JR 810666.ipt.step,20910003,253617.8,614075.01,360457.2,36537.23,0.0,2.6,8.4,11.0,1.8
JR 810669.ipt.step,20910003,310812.38,744000.01,433187.63,48466.54,0.0,3.12,11.15,14.27,1.8
JR 810670.ipt.step,20910003,10604.45,64124.0,53519.55,4766.07,0.0,0.54,1.1,1.63,2.5
JR 810671.ipt.step,20910003,4856.34,19896.8,15040.46,1865.52,0.0,0.15,0.43,0.58,2.5
JR 810686.ipt.step,20910003,42187.32,326106.0,283918.69,20898.2,0.0,2.84,4.81,7.65,2.5
JR 810688.ipt.step,20910003,59370.75,171600.0,112229.25,26701.98,0.0,1.12,6.14,7.26,2.5
JR 810690.ipt.step,20910003,11996.64,74224.8,62228.16,8953.77,0.0,1.12,2.06,3.18,4.5
JR 810691.ipt.step,20910003,3537.68,58283.17,54745.49,1967.6,0.0,0.55,0.45,1.0,2.5
JR 810695.ipt.step,20910003,33116.57,146400.0,113283.43,15301.01,0.0,2.04,3.52,5.56,4.5
JR 810715.ipt.step,20910003,22734.76,60148.13,37413.38,6404.8,0.0,0.15,1.47,1.62,1.0
JR 810716.ipt.step,20910003,15005.34,54695.58,39690.25,5532.4,0.0,0.4,1.27,1.67,2.5
JR 810717.ipt.step,20910003,14702.65,53844.18,39141.54,5402.13,0.0,0.39,1.24,1.63,2.5
JR 810718.ipt.step,20910003,57937.5,131250.0,73312.5,12840.77,0.0,0.53,2.95,3.48,1.8
JR 810833.ipt.step,20910003,3220.33,19404.0,16183.67,1812.31,0.0,0.16,0.42,0.58,2.5
JR 810834.ipt.step,20910003,1791.41,14103.2,12311.8,1404.65,0.0,0.12,0.32,0.45,2.5
JR 810857.ipt.step,20910003,1204.03,13680.0,12475.97,1200.44,0.0,0.12,0.28,0.4,2.5
JR 810872.ipt.step,20910003,201.06,8250.0,8048.94,502.65,0.0,0.08,0.12,0.2,2.5
JR 810935.ipt.step,20910003,1558.91,10920.0,9361.09,983.1,0.0,0.09,0.23,0.32,2.5
JR 811181.ipt.step,20910003,679970.19,2316000.03,1636029.84,288473.56,0.0,19.63,66.35,85.98,3.0
JR 811182.ipt.step,20910003,38787.29,91000.0,52212.71,10754.68,0.0,0.21,2.47,2.68,1.0
JR 811183.ipt.step,20910003,84182.97,179400.0,95217.03,17740.75,0.0,0.69,4.08,4.77,1.8
JR 811185.ipt.step,20910003,5368.74,20412.0,15043.26,2411.79,0.0,0.15,0.55,0.71,2.5
JR 811186.ipt.step,20910003,11811.19,34020.0,22208.81,4719.82,0.0,0.22,1.09,1.31,2.5
JR 811187.ipt.step,20910003,9061.44,81900.0,72838.57,8173.01,0.0,1.31,1.88,3.19,4.5
JR 811198.ipt.step,20910003,344.82,4896.0,4551.18,541.86,0.0,0.05,0.12,0.17,2.5
PDM-249322_03.stp,20910003,43471.8,454464.08,410992.28,18019.81,0.0,4.11,4.14,8.25,2.5
PDM-280739_03.stp,20910003,383519.94,873989.75,490469.81,76679.53,0.0,2.35,17.64,19.99,1.2
